a newes,s. nöwis.,
Negga, s. Niggḷ.,
nider,"(Part.): hinunter, ab. • Ra.: am Aabe nie nider ùn am Morge nie uuf: nider (gaa) sich schlafen legen (Aeby 13); SYN: ay.",
Niere,"(m, unveränd.): Niere (allg. / wh 184, 189); nit ganz subera ùf de Niere unanständig (Gi1); ▲Yyggricht.","[heute meist Niera, f (wh), Dim. Nierli ]"
nime, s. nümme.,
nitsi,"(Part.): abwärts, hinunter (wh 22, 28, 198). ↑dǜrab. • Ra.: bi nitsigùm Maa bei abnehmendem Mond (Ta1).","[aus *nid-sich ◆ Id 7,172]"
nooche,"(g-et): annähern, näher kommen: Fasnachte noochet (Vaucher 30).",
nööte,"(g-et): ❶ überreden, anhaltend bitten, nötigen (allg1 / wh 210); ggnöetet hep mi niemer, wele zwingen o nit (pb Spät139); zùm Tokter giit äär nùme, ass si entlich uuffhöere nöeten ù stǜǜrme (pb Isi11); ↑aaranze. ❷ a) (refl.) sich zwingen, machen müssen (Dü1 / He 61); b) mühsam an etwas erinnern (Pl1 / wh 61); we miersch vùrgässe hii, so hiin is di Groesse mengisch gnue dra gnöetet (pb Verse20); ❸ klagen, jammern, Not haben (Fr1 Re1); ↑päärze.","[auch nöete pb), la nööte (Dü1 Wü1 We1 Pl1 Ss1) ◆ 1. veraltet; wh: ""2. †"" ◆ mhd noeten, nôten '(zum Essen) nötigen' ◆ Id 4,864: nur Bed.1]"
nöwis,"(Pron.): etwas, irgendwas (allg1 - meist passiv / wh 108, 202); [är het] me ufgmuntert, ume anewes z'schribe (FZ 10.5.1865); dä het nöwis gwǜsst z prichte (Ta1); SYN: eppis. vgl. Anhang 2.","[auch newis (wh), nöis (Üb1), a newes (FZ) ◆ veraltend ◆ mhd neiwa 'irgendwas'; aus (ich) enwei wa '(ich) weiss nicht was' ◆ Id 4,807]"
nuefer, s. muefer.,
nuḷ,(Pron.): null (allg.). ↑Zaaḷ.,
Nùneli,"(n, -eni): ❶ Geifertuch der Kleinkinder (Ta2); SYN: Sǜǜferlätsch. ❷ Bett (Kinder / pb S-A); SYN: Bett.",
Nǜschḷ,"(m, -le): a) Schnürsenkel (Ss1 / wh 54, 182); ▲Schue. SYN: Schuebennli. ↑ Bennli, Fyssela, Lätsch. ZSS: Schuenǜschi. b) um den Bauch gewickeltes Band zur Miederschnürung der Kränzlitracht. ▲Tracht. SYN: Miederbann.","[auch Nǜschi (Pl1) ◆ mhd nüschel 'Spange, Schnalle'; zu mlat nuscula 'Spange' ◆ Id 4,835: nur FR, Gugg., Schwb., Simm.]"
nütmee,"(Part.): a) nicht mehr (sds 4,168: Gi Pl); SYN: nüpme. b) nichts mehr: ù ging muess ii an Amschla gsee, si trùùgget ù si frisst nütme (Bertschy 53); SYN: nüpme.","[auch nitmee (sds: Pl), nütme (Bertschy) ◆ Id 4,753]"
nùùsche,"(g-et): a) wühlen, herumstochern, zB in Nähkästchen, Tasche, Schublade (allg.); är het im Schopf ùmha gnùùschet (MaSchaller 96); SYN: nüele. ZSS: vùr~. b) in den Kleidern herumwühlen: de Hermäni het no a Lengi gnùùschet bis sys rot Chöpfli ùmi oben ùs ùm Tschööpli usiggùgget het (ms 94); c)  allg. sich unruhig bewegen (Üb1 Fr1); ↑gniischte.","[ält. hochdt nuseln, näseln 'durch die Nase sprechen'; übertr. 'herumschnüffeln' (dwb) ◆ Id 4,833]"
nüütwärtig,"(-er, -scht): nichtsnutzig, a) schwach, kränklich (Pl1); de ganz Vùrmittag isch schi nüütwärtegi ù mueß si zwinge epis aazrüere (pb Ana73); SYN: tschuppet. b) wertlos, unnütz (He1 Re1 Si2); SYN: chrǜǜsch, nüütig, nüütnùtzig. ↑ (nit gää) Füeteri, haḷbbatzig, (nit dr) Wärt.",
o1,"(Part.): oh, Ausruf des Erstaunens, Erschreckens: o wätsch, my Hose hii a Schranz (Rappo 46); derna est er zuemo selber cho o seet: oh jögersch! (Stalder: OL); SYN: ohoo.",[auch oh (Stalder)]
obenaha·chutte,"(-gchuttet): herunterrasen, -rennen, -rutschen, zB skifahren (Ss2); ↑ schyyne2, zybe.",
Oberants·ma,"(m, -mane): Oberamtmann, Regierungsstatthalter (wh 131, 165). ▲Beamta.","[auch Oberantsma (wh: ""älter""), heute meist Oberamtsma ]"
obet,"(Part.): oberhalb, darüber (wh 177); obetùm/ obùm/ottùm Bach (wh 135); ùf em Hubel obet dùm Doerf (Kolly 32); SYN: obefǜǜr, obenyy, obezùy. ↑ ob, ober.",
Ofehuus,"(n, -hüüser): a) Backhaus beim Hof (allg.); ↑bache. b) (Dim.) freistehender Backofen: das aarmseelige, vùrachtete Ofehüüsi, wa zùr alte Kuur köert (pb Spät84).",[Dim. Ofehüüsi (pb)]
oh," s. o1, ohoo.",
Öḷtere,"(Pl.): Eltern (sds 4,147). ↑ Att, Muetti.",[auch Eḷtere (sds: Gi)]
ööch,"(Pron.): ❶ euch, refl. (allg. / wh 166); ❷ euch, betont; 2. Pl. Dat. od. Akk. (wh 67, 129, 161); vgl. Anhang 2.",
Oor,"(n, -e): Ohr, Hörorgan (allg. / wh 120, 187); d Tälpleni ù d Ooren ù Stǜckeni vam Schwynsgrinn (pm 22); ▲Chopf. SYN: Blachta, Chabisblatt. TEILE: Ooreläppli, Trùmḷfäḷ, etc. ZSS: Muusenöörli. • Raa.: d Oere litze Ohren spitzen, gut zuhören, lauschen (pb S-4); ↑lose. • eppis i ds Oor sääge flüstern, leise sagen (Ta1); ↑chǜschele. • no nit troche hinder de Oore unerfahren (Dü1 Üb1 Re1); ↑ùnerfaare. • bys ùber beidi Oore i de Saassa syy sich in einer misslichen Lage befinden (Id: nur FR); ↑Saassa.",
Ooreplämpi,"(n, -eni): Ohrring, Ohrenschmuck (He1 Pl2). ▲Schmùck. ↑Plemper.","[Id 5,102: nur BE]"
öörpe, s. eerpe.,
Ooschter·meentig,"(m, -e): Ostermontag. ▲Fyrtig. ↑Ooschtere.",
Öpfḷ·chnùtteli,"(n, -eni): fritiertes Backwerk aus Äpfeln (Pl).",
Öpfḷ·tampf,"(m, -ä-): Apfelmus (allg1 Üb2 ML2 OL2; sds 5,194: Gu Dü Ta We Gi Ss); SYN: Öpfḷbrägḷ, Öpfḷmues, Öpfḷsäder. ↑ Mues, (tämpfti) Öpfle.","[auch Öpfùtämpf (Dü1) ◆ älter ◆ aus *Apfel-Getempf 'gedämpftes Apfelmus' ◆ Id 12,1905]"
örplich,"(-er, -scht): a) erblich (pb S-1a); b) ansteckend: i Kryysezyte isch ds Bǜǜrgschaftezaale wyn a öerplichi Chrankhiit (pb Ana61).",[auch öerplich (pb); heute meist eerblich ]
Öuschtera,"(f, -e): Elster (Wü2 Üb2 Ta2 We2). SYN: Agerschta.",
öwùm, s. öyùm.,
päägge,"(-et): ❶ a) weinen (Üb2 Ss1 / wh 44); ass er dù vùrlöcht gwǜsst het, fùr was ass er pääggi (pb Spät117); z lutter Wasser päägge (Ta2); SYN: plääre. b) laut weinen, heulen (sds 4,97: Wü Fr Ta Gi Pl); ↑ gryyne, plääre. ❷ schreien, rufen, a) von Menschen (Dü2 Ss1); ↑ ggygge, Päägg (la gaa). ZSS: aa~, usi~. b) von Tieren, zB Schaf, brünstiger Katze (sds 8,74: Gu Dü ML OL); ↑brüele.","[zu bää, päägg, die lautmalend sind; vgl. Pääggḷ ◆ Id 4, 1077]"
päärze ,"(-et): ❶ sich abmühen an schwerer Arbeit, leiden (Gu1 Wü1 Üb1 Fr1 Ta1 He1 Pl1 Ss1); wär lang päärzet, chùnt alt (Aeby 14); ▲wärche. SYN: abmüüe, bǜre, chnoorze, chnuuschte, forssiere, fuuschte, mǜǜrde, poorze. ↑ arhùdle, böös (haa), byfere, chrampfe, chrǜpple, drischǜcke, gniischte, gnue, liid (tue), haarze, lyde, nöörggele, vùrmǜǜrde. / ↑vùrchnoorzet. ❷ klagen, jammern (Dü1 Üb1 Ta1 We1 Re1 Si1 Pl1 Ss1); etlich hii ordeli lenger weder drüü Taage müesse pyyschten ù päärze, gob si dr Toed arlöest het (pb Isi12); SYN: jammere. ↑ jousse, nööte. ❸ nörgeln, an allem etwas aussetzen (We1 Gi1); ↑muule.","[auch bäärze (Gi1) ◆ veraltet ◆ wohl zu mhd barzen, berzen 'strotzen, hervordrängen' ◆ Id 4,1638]"
Päckli,"(n, -eni): Paket (allg. / wh 22); ↑ Kylù, Poscht.",
Paggeli·chräämer,"(m, unveränd.): Schnapsverkäufer, Wirt (humor.); natürlich (...) hei di Paggelichrämer ihre Iladùng nit uf de guete, vodere dri Site van üser Zittung lah erschine (FN 24.11.1908); SYN: Wǜrt.",
Pamper·mǜḷch,"(f, kein Pl.): Biestmilch für den Pamper: am Morge tuen i de ging ggùgge, das i no Pampermǜuch han (Haas: He); SYN: Brüeschmǜlch.",
Papierggorni,"(n, -eni): Papiertüte, kl. Papiersack (Ta1 Re1).",[auch Papierggorneli (Ta1)]
Pappyong,"(m, -e): Schmetterling (sds 6,237: Fr). ↑Fyfaḷtera.","[frz papillon 'Schmetterling' ◆ Id 4,184]"
Parysett,"(n, unveränd.): Pariserbrot (Ta); ▲Broot. SYN: Stäckebroot.",
Passwytt,"(n, unveränd.): Maschine, mit der man Kartoffeln zu Brei zerdrückt (Ta1). ↑Poppḷ.",[urspr. Markenname zu frz passe-vite 'schnell durchtreiben']
Pavi,"(f, -ene): ❶ gepflasterter Hausplatz (Dü1 Re1); isch er synner Spoere ga wetzen ùber d Pavi anni (pb Isi57); SYN: Aaschtatt, Pafig, Psetzi, Psetzibode. ↑ Bǜfig, Hoschtett, Husmatta. ❷ Pflasterstein (wh 142 / Wü1 He1 Re1); SYN: Pafig, Psetzistii. ↑Pawöör.","[auch Pavi, n (wh / Ss1), Pavi, m (wh / Dü1 Wü1 Re1), Paffi (He1), Pawe (Wü1) ◆ bald † ◆ frz pavé 'Pflasterstein' ◆ Id 4,1040: nur FR, Gugg., Schwb.]"
pchönig, s. pchenig.,
peize,"(-et): wirten, Wirtshaus führen (Gu Dü2 ML1 We2 Re). SYN: wǜrte.",
Pescht·wùùrz,"(m, kein Pl.): gebräuchl. Pestilenzwurz: am Wääg het [eig.: hii] ds Habichtschrutt, de Peschtwùrz ù d Waalvieli blüet (pm 109); ↑Esḷchrutt.",
Pfäffermǜnz,"(n, kein Pl.): Pfefferminze (neu / Dü2 Ta2). SYN: Mǜnze.",
Pfanegäscher,"(m, -e): rasierpinsel-ähnl. Bürstchen zum Reinigen von Pfannen (Üb1). ▲Pùtzzüüg.",
Pfeischter·böuchli,"(n, -eni): Fensterbank, Fensterbrett (Ta2); ali Geranie ù Petuunie in ara stockfiischtere Nacht vam Feischterbouch aha ramisiere (pb Isi61).",[auch Feischterbouch (pb)]
Pfiff,"(m, -e): Pfiff (Üb2 We2 Pl1 / wh 101). ↑pfüüffe.","[auch Pfiif (wh: ""alte. Gen. im OL""), Pfǜff (Üb2 We2)]"
Pflanz·blätz,"(m, -e): Pflanz-, Schrebergarten: wier hi im Häpereblätz ùn im Pflanzblätz ging Psuech ghääbe va zweine Tachse (pm 67); Tütschfrybùrg [sygi] a frùchtbaara Pflanzplätz fùr Prieschterberuefe [sic!] (übertr. / pb Spät156); SYN: Gaarte.",[Daniel Schreber propagierte im 19. Jh. Mietgärten für arme Grossstadt-Arbeiter]
Pflodi, s. Pflùdi.,
Pfruen,"(f, -üe-): Pfründe, Einkünfte aus einem Kirchenamt (wh 69, 137, 145). ZSS: Pfarrpfrùnn.",
Pfùpf,"(m, -ǜ-/kein Pl.): ❶ Schuss, Patrone (Ta2); ↑Schùtz. ❷ Motivation, Energie (Ta2); dä het ifach ki Pfùpf im Fǜdle (Dü2); SYN: Fydutz.","[urspr. 'Bezeichnung eines dumpfen Schalls' (Id) ◆ in Id 5, 1166 nur and. Bedd.; SI-Wb: 'kurzer, unterdrückter Laut']"
Pfüüffi,"(n, -eni): ❶ kl. Pfeife, a) Trillerpfeife (wh 73); b) Pfeife, zB aus Löwenzahnstängel, Weidenholz, Rohrpflanze (sds 5,92: Fr Ta We Gi Pl); SYN: Fùùrza. ❷ Tabakspfeife: ersch wa de Chorberchrigù ds Pfyyfli gstopft hät (fa Religion); ↑Pfüüffa. ❸ männl. Glied (humor. / We1); SYN: Plemper.","[auch Pfyyffi (sds: Dü Wü Fr), Pfüüffli (We1), Pfyyfli (fa) ◆ Id 5,1068]"
Pfyyff~, s. auch Pfüüff~.,
phùùte,"(-et): ❶ behaupten (Wü1); aber wou, är hets p'hùùtet (pm 72); «ja», hät de Seppili bhùùtet (fa Religion); ❷ schaffen, sich durchsetzen (Si1); SYN: ggriise.",[heute meist phùùpte ]
Pier·ranze,"(m, -ä-): Bierbauch (Dü1 We).",
Pim·pùùm, s. Pǜmpùùm.,
pläänerle,"(-et): Planspiel machen: eine Gruppe zeichnet auf einem Plan, wo sie sich befindet, die andere muss sie finden (Dü1 Wü2 Ta We2); ▲spiile.",
Plachi, s. Plaha.,
Plaha,"(f, -e/-ene): Plane, grobe Schutzdecke (Dü2 / wh 139, 189); wa di löschti Winna ù jedi Plahi, Schufla, Zeppi (...) uufgliit gsy isch (aj Rollimoos 94); as isch ii Frǜǜd ùn Arlöerti gsy ùnder dr gruusse Plaha (pb Spät144).","[auch Plahe, m (wh), Plahi (aj), Plachi (Dü2) ◆ mhd blaha 'grobes Leintuch' ◆ Id 5,46]"
Plangga,"(f, -e): ❶ Planke, breites Bodenbrett. ▲Schüür. SYN: Brätte, Laade. bes. in • Ra.: ùf d Plangge zur Arbeit, sich beschäftigen (Fr1); muess früü ùf d Plangge, bǜ z müeda fùr z zangge (pb Verse80); ↑wärche. ❷ militär. Ordnung (milit. / Ss1).","[auch Planke (Ss1) ◆ prakt. † ◆ mhd planke 'dickes Brett'; vgl frz planche ◆ Id 5,119: 1. GR, SG-OL]"
plätschere, s. plätsche.,
pleeje,"(-t): ❶ blähen, aufgebläht sein (Üb1 Ss1 / wh 207); SYN: uuflùùffe, uufpuusse. ZSS: uuf~. ❷ meist P. Perf., aufgebläht, überfüllt, zB mit Essen (wh 207); ↑gnüegelet.",[auch plaaje (wh: Vieh)]
plöffe,"(-et): prahlen, angeben (Üb1 Ta2 Re1). ↑plodere.",
Pluuse,"(m, -üü-): Arbeitskittel der Männer (Üb1 Re1 / wh 106, 141); Puure i iirne lenge ù haub lenge blauwe ù schwarze Blüüse (aj Rollimoos79); stann uf, häb der Bluusen uuf (Kolly 51); ▲Bchliidig. SYN: Chittḷ. ZSS: Chaḷber~, Hendler~, Ùber~.","[auch Bluuse (Üb1 / Kolly; aj) ◆ frz blouse 'Kittel', dessen Herkunft unklar; auch ins Pat übernommen als blouze, blouje (GPSR, Currat); vom Auslaut -e könnte das mask. Genus in SE beeinflusst sein; die moderne Bed. 'Teil der Frauenbekleidung' kommt frz und dt erst Ende 19. Jh. auf ◆ fehlt im Id; vgl. SI-Wb: Pluse, m 'Männerkittel' (alte Q)]"
Poschte,"(m, -ö-): Posten, zB Polizeiposten, OL-Ziel (wh 182).",
Pousa,"(f, -e): Pause (wh 65). • Ra.: Pousa mache erholen, ausruhen (allg.); ↑lüe.",[aus der Schriftspr. entlehnt]
Prässel, s. Brässḷ.,
preeme,"(-t): berussen, schwärzen (Gu1 Wü1 Üb1 Fr1 Ta1 We1 OL1 / wh 58, 133). SYN: braame. ↑schwarz.","[mhd beraemen 'beschmutzen' ◆ Id 6,885]"
poläxle, s. polätzle.,
Poḷschter·meieli,"(n, unveränd.): Polsterpflanze: d Polschtermeieleni hi d Glöggli i dr Sùna paadet (pm 113).",[fehlt in Ma-Wbb; Bed. aus gr. Duden]
Pomm,"(m, unveränd.): Apfelschnaps (Fr1 Ta1 Gi1). SYN: Bätzi2.",[frz pomme 'Apfel']
poorze,"(-et): sich abmühen mit schwerer Arbeit, leiden (Ta1); ù de hii si gglǜpft ù poorzet (Aeby 79); uf d'Stühl wuhi portzet u dsatzes umhi ahi gumpet (vs 1913,5); SYN: päärze.","[wohl zu schwzdt barzen, berzen, mhd barzen 'strotzen, hindurchdrängen'; ev. verwandt mit bersten, ält. auch bresten ◆ Id 4,1642: nur BE, Murten]"
Preemi2, s. Präämie.,
prezyys,"(-er, -escht): ❶ präzise, genau (wh 34, 136); SYN: gnaau. ANT: ùberhùtz. ↑(uf ds) Loch. ❷ Ausruf: ganz richtig! genau! (wh 34); SYN: jùschtement.",
Priichi,"(f, -ene): Treffsicherheit: ù de het er de Priichi ghääbe (Kolly 54); muesch zeersch ga Priichi chùùffe (We2).","[vgl. frz/Bolz: ""Va-t-en acheter du jugeote chez Lapp pour 10 centimes."" (Fränzi Kern-Egger) ◆ Id 6,152: Preichi (AG, BE, BL)]"
Prones,"(n, Proneni): Branntwein, Schnaps: woscht dù Moscht oder Prones? (vs GuC72); SYN: Schnaps.","[zu brene, starkes Partizip prone 'gebrannt']"
Pryysa,"(f, -e): Prise (allg.). ↑Rümli1.",
pschuele,"(-et): belehren, unterrichten: aber nai iinisch, vùrwichen asmal, het mi dù dr alt Überstorf-Pfaarer seelig andersch pschuelet (pb Isi12); SYN: schumiischtere.","[aus *be-schuele ◆ Id 8,626: 'unterrichten, lehren' (BE)]"
pschyysse,"(pschisse): betrügen, täuschen (wh 60, 207); de Pfarrer ist bschissna gsyn (Nydegger 1882); ma mint [ds Lääbe] tǜegen is pschyysse (Aeby 45); ▲spiile. SYN: drilege, trùmpiere, tüüsche. ↑ Chaḷb (mache), vùrseckle, vùrwǜtsche.",
pstecke,"(-t): ❶ stecken bleiben: das moraschtige Moes, wan er fascht psteckt weeri (pb Isi48); ↑stecke. ❷ schnell sättigen, zB von schwer verdaulichem Essen (Ta2); SYN: gnüegele.",
psùnderbaar,"(-er, -scht): besonders, a) hauptsächlich (wh 52, 124); är het psùnderbaar de jùnge hǜbsche Piiteni (...) naaghääbe (pb Isi60); b) eigen, einzigartig (wh 146); SYN: psùnderig.",
püeze,"(-et): arbeiten, bes. in der Fabrik, auf dem Bau (neu / Bau / Üb2 We2). SYN: wärche.",
pùggle,(-et): auf dem Buckel tragen (Ta1). SYN: chreezipùggle.,
Pùmmerli, s. Pùmerli.,
Pǜntḷ, s. Bǜnteli.,
Puppi·wäägeli,"(n, -eni): Puppenwagen (Si1).",
Pǜschelibire·bùùm,"(m, -ǜǜ-): Baum mit süssen, kl. Tafelbirnen (Gu1 Ta1 Pl1). ↑Birebùùm.",[auch Pǜschelibiirebùùm (Gu1 Ta1)]
pǜtsche, s. pytsche.,
Pùùffet, s. Pùfett.,
Püüri,"(f, -ene): Bäuerin (allg.); d Püüri het gwärwiiseret (pm 43); ↑Puur.",
pyggöörle,"(-et): Spickenspiel machen, Zeig- od. Mittelfinger spicken u. etwas/jmdn. treffen (We2); ↑polätzle.",[zu Pyggüüra ]
pypääperle,"(-et): schmeicheln, taktvoll sein: i cha emel nit dürewäg drzwüsche stah u vermittle u pipäperle (vs 1913,5); SYN: büüssele. ↑aaijele. ZSS: vùr~.",
pytsche,"(-et): naschen, etwas Kleines stehlen (Dü1 Ta1 Gi2 Si1); wär het mier a Öpfù pytscht? (Ta1); chrätsch - het er ds zweita [Chabishǜǜtli] pǜtscht (Kolly 49); SYN: schnouse, stybyze. ↑ nää, stääle, stuuche, uusrùùbe.","[auch pyytsche (Ta2), pǜtsche (Kolly) ◆ wohl schwzdt pütsche 'hastig auf etwas losfahren, v.a. auf Essbares'; dieses zu lautmalendem schwzdt putsch! (Id 4,1939) ◆ fehlt in Ma-Wbb]"
queer,"(Part.): quer, schräg (Üb2 He1 Re2). SYN: zwäärisch.",
Rääba,"(f, -e): Weinstockspalier, Hausrebe (sds 6,174: Gu Ta He / wh 103, 189); ▲Struuch. SYN: Räbstock, Räbtruba, Spaliertruba, Wyystock. ↑Trübḷ. ZSS: Huus~, Spalier~.","[Id 6,37]"
Rään,"(m, kein Pl.): Regen (wh 113); [d Meie] warten ùf na warma Rään (pm 84); ▲Wätter. SYN: Schiff1, Schǜtti. ↑ Gschwader, Höydöri, Schwetti, Strubuusseta, Stùùbeta, Zyysse.",
Raatsherr,"(m, -here): ❶ Ratsherr, Grossrat: ma lost [im Pfaarer] mee weder dùm Ama oder dùm Ratsheer (pb Spät142); ▲Beamta. ❷ (Pl.) Übername für die Bewohner von Plaffeien: d Plaffeier sy am Vùrmitaag d Raatshere, am Namitaag d Schysshüüslipùtzer (s. Volkskalender 1995,157); vgl. Anhang 1.",
Räbeli,"(n, -eni): ❶ kl. Kratzeisen, Ofenkrücke (Gu1 Dü1 Fr1 Ta1 We2 Si1 Pl1); ❷ mageres, schlecht gedeihendes Kind (Ta1); das Buebeli isch as par Wùche z früü ùf d Wält choe ùn isch lang as maagersch, nüütigs Räbeli plǜbe (pb Isi36); vgl. Anhang 1.","[auch Rabeli (Dü1 Fr1 Ta1 We2 Pl1 Si1; sds: Gi), Rabli (He1; sds: Dü / wh 39) ◆ Id 6,12]"
räche,"(gg-et): rechen (allg.; sds 6,137: Dü Pl); ▲gaartne, ▲sùmmere. ↑ waḷmle, zämemache. ZSS: uuf~.",
Radyggù,"(m, -le): abschätzig für einen Extremisten: aber Moosbodepeetis Housi - si hii mù der Radiggùù gsiit - där het an anderi Miinung ghääbe (Kolly 12); vgl. Anhang 1.",[von der Parteibez. les radicaux 'die Freisinnigen'; urspr. alle die nicht kath. konservativ sind]
Ragù,"(m, kein Pl.): Ragout: [si chùùft] i dr Metzg Filet ù Braate, Ragù ù Hama (pm 45); ▲Fliisch. ZSS: Häppere~.",
Ranggḷ,"(m, -le): ❶ abschätzig für gr., magere Person (Ta1 Si1 Pl1 Ss1); vgl. Anhang 1. ❷ a) unruhige Person (Dü2 Wü2 Üb1); SYN: Ranggifǜdle. vgl. Anhang 1. b) kl., schlecht gewachsenes Schwein (Wü1 Fr1 Si1); ▲Schwyy. c) kl., kränkl., unterlegener Knabe (Gu1 Dü1 Wü1 Ta1 He1 We2 Gi Re Si2 Pl2); d) kl., mickeriges Ding, zB Apfel (Pl1).","[auch Ggränggù (Ta1 OL2), Ggranggù (Wü1 Gi1), Dim. Ranggli (Wü2), Ranggeli (Gu1) ◆ Bed.1 ev. zu germ *rank 'aufgerichtet, gestreckt', lautl. beeinflusst v. ranggen; Bed. 2.a) zu schwzdt ranggen, mhd ranken (-gg-) 'einen «Rank» tun, sich hin und her bewegen', davon übertr. Bed. b), da unruhiges Vieh sich schlechter entwickelt, von hier aus c) u. d) ◆ Id 6,1121: Ränggel 'schnell aufgeschossene Person' (LU, ZH); Ranggel 'schlecht gehaltenes Vieh' (Simm.)]"
Rapsa,"(f, -e): ❶ Raffel (sds 7,198: Üb / wh 189). SYN: Rabier. ❷ Maschine zum Zerkleinern, Raffeln der Zuckerrüben (pk); SYN: Manga.","[auch Rapsi (pk), Dim. Rapsli (Re1) ◆ Id 6,1217]"
Raschpla ,"f, -e): Raspel, Art grobe Feile für Holz (allg.). ↑Fiela.",
rätschpliziere,"(gg-t): erklären, erläutern: a soe het Wyntschis Hans di hütigi Wältlaag grätschpliziert (vs GuC87); ↑pratike.",[ev. Kreuzung zw. rätsche 'unnötig reden' u. frz expliquer 'erklären' ◆ Einzelbeleg]
Rebaarbere·saassa,"(f, -e): eingedickte Rhabarber-Sauce (Re1).",
Reetich, s. Räätich.,
regiere,(-t/gg-t): regieren (allg. / wh 68). SYN: bifääle.,
Reja,"(f, -e): Reihe (wh 60, 64). SYN: Zyleta.","[auch Ryya (wh), Reija (wh), Dim. Rejeli (pk)]"
Richter2, s. Richterli.,
Rigḷ, s. Rygḷ.,
Riis1,"(n, unveränd./-eni): ❶ unbewachsene, steile Rinne in Bergen, zB zum Flössen des Holzes (We1 Gi1 Pl1 Ss1); we d Seisa härdbruuni ǜber ds ganz Riis glǜffen isch (pm 41); SYN: Pöörtli. ↑fäḷdere. ZSS: Hoḷz~. ❷ Kegelbahn, a) kurvige Freiluftbahn (Gu1 He1 We1 OL1); SYN: Chiigḷbaan. b) Laden, auf dem die Kugel gespielt wird (Dü1 Fr1); ↑chiigle. ZSS: Boord~, Chiigḷ~, Laade~.","[auch Ryys (Pl1 Ss1) ◆ 1. Wort u. Ding bald † ◆ mhd rise, f 'Halde, Gebirgsrinne' ◆ Id 6,1356]"
Riitḷ,"(m, -le): ❶ Drehknüppel zum Festziehen des Seils auf Fuhrwerken (Dü1 Wü1 Ta1 / wh 63); SYN: Schiitḷ. ❷ magere Person (übertr. / Ta1 Gi2); vgl. Anhang 1.","[auch Reetù (Gi2) ◆ mhd reitel 'Drehknüppel'; das zu reiten 'bereit machen' ◆ Id 6,1658]"
ring·mäḷchig,"(-er, -scht): leicht zu melken (Üb1). ↑mäḷche.","[Id 4,194]"
Ritz,"(m, -e): mit Gras bewachsener Berghang (wh 48); ZSS: Höy~. • Ra.: z Ritz gaa Vieh zum Weiden in die Berghänge führen (wh 48); ↑frässe.","[Dim. Ritzli ◆ mhd ri 'Riss, Ritze; Umkreis' ◆ Id 6,1927]"
Rödli, s. Redli.,
Römyse, s. Remyse.,
Roor·stǜfḷ,"(m, -le): Stiefel mit langem Schaft (pk).",
Roota,"(m, -e): Rotwein (Dü Üb2 Gi1 Ss1); dezue gits a gueta Tropf Roota (Haas: He); ▲Wyy1.",
Root·tana,"(f, -e): Rottanne, Fichte (allg.).","[Bosshard 1978,131]"
Rossbole,"(m, unveränd.): Pferdeapfel (sds 8,115: Gu Fr). SYN: Rossgagḷ.","[Id 4,1174]"
Ross·schwanz,"(m, -e-/-ä-): Pferdeschwanz, a) Schweif des Pferds (allg.); ▲Ross. b) langer, zusammengebundener Haarschopf (He1 Si1).",
Röyma,"(n, unveränd.): Rheumatismus (allg.). SYN: Gglidersùcht.",
Rǜbḷ,"(m, -le): a) knorriger Bengel, grober Stock (Dü1 Fr1 Ta1 We OL1 Ss2); SYN: Penggḷ, Rybḷ, Spare, Tosse. ↑Ascht. ZSS: Hoḷz~. b) unbehandelter, minimal entasteter Pflock, den man zB im Winter an Wegen einschlägt (Si1 Ss1); SYN: Schwǜre. c) Drehknüppel am Heufuder (Wü1); SYN: Schiitḷ.","[auch Röbù (Ta1 Re1), Rùbù (Fr1) ◆ veraltet ◆ mit Rundung zu gugg. Ribel 'dickes Stück Holz, grober Knebel' (Id 6,50); dieses ev. zu einer Schwundstufe (gg-)ribe von ryybe 'reiben' ◆ Id 6,71: Röbel Bed.b) nur FR; Id 6,78: Rǜbel 'Dummkopf' (AG)]"
Rudḷ,"(n, -le): ❶ Unordnung, Durcheinander, bes. von Kindern (Si1); SYN: Dùchenann. ❷ Rahmschicht auf gekochter Milch (Ta1 Ss1); SYN: Rumm1.","[Bed.1 zu schwzdt Rudel 'sich geräuschvoll bewegende, dichtgedrängte Schar' (Id); Bed.2 zu Rüdla ◆ Id 6,626]"
Rüemi·hùtta,"(f, -e): Angeberin, Grosstuerin: är isch a Rüemi ù sia a Rüemihùtta (Wü1); s. Anhang 1.",
rǜfle, s. rǜble.,
Rumm1,"(m, unveränd.): ❶ Rum, Schnaps. ▲Schnaps. ❷ a) Rahmschicht auf gekochter Milch (Üb1 We1 OL1; sds 5,162: He We OL); SYN: Hùngg, Hutt, Nydla, Rudḷ, Rüdla, Schlängge, Spinelenetz. ↑ (im Chnächts/Chüersch) Hose, Mǜḷch. b) Rückstand beim Auslassen von Butter (Fr1; sds 5,185); ↑Grǜǜbe. ZSS: Anke~.","[auch Ruum (Si1) ◆ Bed.2 bald † ◆ Id 6,898]"
